Transaction_ID,PR_ID,PO_ID,GR_ID,Invoice_ID,Vendor_ID,Vendor_Name,Category,Department,Quantity,Unit_Price,Total_Amount,PR_Date,PO_Date,Expected_Delivery,GR_Date,Invoice_Date,Payment_Date,PO_Cycle_Days,Delivery_Cycle_Days,Invoice_Cycle_Days,Payment_Cycle_Days,E2E_Cycle_Days,On_Time_Delivery,Invoice_Exception,Month,Month_Num,Quarter
TXN0019,PR0019,PO0019,GR0019,INV0019,V001,TechSupply Pvt Ltd,Software Licenses,Logistics,44,68810.99,3027683.56,2024-08-04,2024-08-06,2024-08-14,2024-08-14,2024-08-17,2024-09-14,2,8,3,28,41,True,False,Aug,8,Q3
TXN0020,PR0020,PO0020,GR0020,INV0020,V009,BrightSource Co,Logistics,Procurement,29,15513.67,449896.43,2024-05-07,2024-05-10,2024-05-25,2024-05-25,2024-06-01,2024-07-25,3,15,7,54,79,True,False,May,5,Q2
TXN0021,PR0021,PO0021,GR0021,INV0021,V002,GlobalProcure Inc,IT Equipment,Finance,49,129573.92,6349122.08,2024-02-20,2024-02-23,2024-03-14,2024-03-14,2024-03-16,2024-04-26,3,20,2,41,66,True,False,Feb,2,Q1
TXN0022,PR0022,PO0022,GR0022,INV0022,V007,ZenithSupplies Ltd,Software Licenses,Finance,17,93386.63,1587572.71,2024-03-25,2024-04-02,2024-04-18,2024-04-18,2024-04-24,2024-06-03,8,16,6,40,70,True,False,Mar,3,Q1
TXN0023,PR0023,PO0023,GR0023,INV0023,V004,PrimeMaterials Ltd,Logistics,HR,4,48438.52,193754.08,2024-03-20,2024-03-29,2024-04-06,2024-04-08,2024-04-09,2024-06-18,9,10,1,70,90,False,True,Mar,3,Q1
TXN0024,PR0024,PO0024,GR0024,INV0024,V001,TechSupply Pvt Ltd,Marketing,Operations,33,16972.48,560091.84,2024-09-14,2024-09-17,2024-09-26,2024-09-28,2024-10-04,2024-11-10,3,11,6,37,57,False,False,Sep,9,Q3
TXN0025,PR0025,PO0025,GR0025,INV0025,V010,Pinnacle Supplies,Consumables,Procurement,39,877.55,34224.45,2024-03-02,2024-03-04,2024-03-24,2024-03-26,2024-03-31,2024-05-03,2,22,5,33,62,False,False,Mar,3,Q1
TXN0026,PR0026,PO0026,GR0026,INV0026,V005,NexaVendors Corp,Professional Services,Procurement,26,43558.09,1132510.34,2024-04-14,2024-04-19,2024-05-10,2024-05-10,2024-05-17,2024-06-11,5,21,7,25,58,True,False,Apr,4,Q2
TXN0027,PR0027,PO0027,GR0027,INV0027,V002,GlobalProcure Inc,Consumables,IT,35,2524.97,88373.95,2024-08-22,2024-08-27,2024-09-07,2024-09-17,2024-09-18,2024-11-08,5,21,1,51,78,False,False,Aug,8,Q3
TXN0028,PR0028,PO0028,GR0028,INV0028,V009,BrightSource Co,Raw Materials,Logistics,46,15823.34,727873.64,2024-05-25,2024-06-03,2024-06-10,2024-06-12,2024-06-17,2024-07-30,9,9,5,43,66,False,False,May,5,Q2
TXN0029,PR0029,PO0029,GR0029,INV0029,V002,GlobalProcure Inc,Maintenance,IT,48,23469.27,1126524.96,2024-03-09,2024-03-14,2024-03-30,2024-04-01,2024-04-07,2024-05-25,5,18,6,48,77,False,False,Mar,3,Q1
TXN0030,PR0030,PO0030,GR0030,INV0030,V001,TechSupply Pvt Ltd,Utilities,HR,6,20857.11,125142.66,2024-09-15,2024-09-20,2024-09-28,2024-09-26,2024-10-03,2024-11-05,5,6,7,33,51,True,False,Sep,9,Q3
TXN0031,PR0031,PO0031,GR0031,INV0031,V009,BrightSource Co,Utilities,R&D,1,7796.85,7796.85,2024-03-23,2024-03-26,2024-04-19,2024-04-17,2024-04-20,2024-06-03,3,22,3,44,72,True,False,Mar,3,Q1
TXN0032,PR0032,PO0032,GR0032,INV0032,V005,NexaVendors Corp,Raw Materials,Finance,24,45050.09,1081202.16,2024-08-08,2024-08-09,2024-08-27,2024-08-27,2024-08-29,2024-10-04,1,18,2,36,57,True,False,Aug,8,Q3
TXN0033,PR0033,PO0033,GR0033,INV0033,V004,PrimeMaterials Ltd,Consumables,Operations,11,9773.96,107513.56,2024-07-27,2024-07-30,2024-08-19,2024-08-17,2024-08-23,2024-10-30,3,18,6,68,95,True,False,Jul,7,Q3
TXN0034,PR0034,PO0034,GR0034,INV0034,V002,GlobalProcure Inc,Maintenance,Operations,25,35270.17,881754.25,2024-05-07,2024-05-15,2024-05-29,2024-05-29,2024-06-02,2024-07-19,8,14,4,47,73,True,False,May,5,Q2
TXN0035,PR0035,PO0035,GR0035,INV0035,V007,ZenithSupplies Ltd,IT Equipment,Procurement,22,52611.41,1157451.02,2024-04-24,2024-04-26,2024-05-11,2024-05-11,2024-05-16,2024-06-20,2,15,5,35,57,True,False,Apr,4,Q2
TXN0036,PR0036,PO0036,GR0036,INV0036,V003,SwiftLogistics Co,Office Supplies,HR,38,4820.16,183166.08,2024-01-15,2024-01-20,2024-01-28,2024-01-28,2024-02-01,2024-03-07,5,8,4,35,52,True,False,Jan,1,Q1
TXN0037,PR0037,PO0037,GR0037,INV0037,V007,ZenithSupplies Ltd,Consumables,IT,37,2305.75,85312.75,2024-08-11,2024-08-12,2024-09-10,2024-09-10,2024-09-15,2024-10-16,1,29,5,31,66,True,False,Aug,8,Q3
TXN0038,PR0038,PO0038,GR0038,INV0038,V006,AlphaGoods Pvt Ltd,Software Licenses,IT,40,38252.41,1530096.4,2024-07-05,2024-07-07,2024-08-06,2024-08-16,2024-08-21,2024-10-13,2,40,5,53,100,False,False,Jul,7,Q3
TXN0039,PR0039,PO0039,GR0039,INV0039,V009,BrightSource Co,Software Licenses,HR,9,27265.61,245390.49,2024-06-16,2024-06-23,2024-07-21,2024-07-23,2024-07-25,2024-09-12,7,30,2,49,88,False,False,Jun,6,Q2
TXN0040,PR0040,PO0040,GR0040,INV0040,V005,NexaVendors Corp,Marketing,Finance,19,31540.46,599268.74,2024-07-26,2024-08-05,2024-08-31,2024-09-02,2024-09-06,2024-10-07,10,28,4,31,73,False,False,Jul,7,Q3
TXN0041,PR0041,PO0041,GR0041,INV0041,V002,GlobalProcure Inc,Utilities,Operations,19,17886.3,339839.7,2024-09-18,2024-09-28,2024-10-15,2024-10-13,2024-10-20,2024-12-08,10,15,7,49,81,True,False,Sep,9,Q3
TXN0042,PR0042,PO0042,GR0042,INV0042,V001,TechSupply Pvt Ltd,Logistics,Operations,3,23363.19,70089.57,2024-04-25,2024-05-03,2024-05-29,2024-06-03,2024-06-04,2024-07-05,8,31,1,31,71,False,False,Apr,4,Q2
TXN0043,PR0043,PO0043,GR0043,INV0043,V004,PrimeMaterials Ltd,Utilities,R&D,10,21401.45,214014.5,2024-07-15,2024-07-16,2024-07-26,2024-07-31,2024-08-02,2024-10-10,1,15,2,69,87,False,False,Jul,7,Q3
TXN0044,PR0044,PO0044,GR0044,INV0044,V002,GlobalProcure Inc,Marketing,Procurement,30,22933.98,688019.4,2024-01-26,2024-02-03,2024-03-02,2024-03-04,2024-03-09,2024-05-02,8,30,5,54,97,False,False,Jan,1,Q1
TXN0045,PR0045,PO0045,GR0045,INV0045,V003,SwiftLogistics Co,Software Licenses,Logistics,48,87534.54,4201657.92,2024-09-15,2024-09-23,2024-10-08,2024-10-13,2024-10-20,2024-11-29,8,20,7,40,75,False,False,Sep,9,Q3
TXN0046,PR0046,PO0046,GR0046,INV0046,V002,GlobalProcure Inc,Maintenance,Logistics,46,13571.94,624309.24,2024-05-02,2024-05-07,2024-05-24,2024-05-24,2024-05-29,2024-07-12,5,17,5,44,71,True,True,May,5,Q2
TXN0047,PR0047,PO0047,GR0047,INV0047,V004,PrimeMaterials Ltd,Software Licenses,Operations,5,47338.11,236690.55,2024-04-28,2024-05-04,2024-05-28,2024-05-28,2024-05-29,2024-08-05,6,24,1,68,99,True,False,Apr,4,Q2
TXN0048,PR0048,PO0048,GR0048,INV0048,V010,Pinnacle Supplies,Consumables,Finance,25,5031.31,125782.75,2024-07-18,2024-07-24,2024-08-09,2024-08-14,2024-08-21,2024-09-28,6,21,7,38,72,False,False,Jul,7,Q3
TXN0049,PR0049,PO0049,GR0049,INV0049,V008,CoreTrade Inc,Marketing,Procurement,15,38568.75,578531.25,2024-10-02,2024-10-10,2024-10-17,2024-10-17,2024-10-23,2024-12-29,8,7,6,67,88,True,False,Oct,10,Q4
TXN0050,PR0050,PO0050,GR0050,INV0050,V010,Pinnacle Supplies,Utilities,Operations,35,5674.16,198595.6,2024-03-25,2024-04-01,2024-04-26,2024-04-28,2024-04-29,2024-06-06,7,27,1,38,73,False,True,Mar,3,Q1
TXN0051,PR0051,PO0051,GR0051,INV0051,V001,TechSupply Pvt Ltd,Utilities,Operations,17,14477.6,246119.2,2024-03-10,2024-03-14,2024-04-04,2024-04-04,2024-04-11,2024-05-14,4,21,7,33,65,True,False,Mar,3,Q1
TXN0052,PR0052,PO0052,GR0052,INV0052,V008,CoreTrade Inc,Maintenance,IT,2,30713.9,61427.8,2024-08-03,2024-08-04,2024-08-22,2024-08-22,2024-08-23,2024-10-18,1,18,1,56,76,True,False,Aug,8,Q3
TXN0053,PR0053,PO0053,GR0053,INV0053,V001,TechSupply Pvt Ltd,Logistics,Procurement,40,16428.68,657147.2,2024-01-16,2024-01-19,2024-02-10,2024-02-12,2024-02-17,2024-03-27,3,24,5,39,71,False,False,Jan,1,Q1
TXN0054,PR0054,PO0054,GR0054,INV0054,V010,Pinnacle Supplies,Professional Services,Operations,39,193472.25,7545417.75,2024-05-11,2024-05-13,2024-05-25,2024-06-04,2024-06-05,2024-07-09,2,22,1,34,59,False,False,May,5,Q2
TXN0055,PR0055,PO0055,GR0055,INV0055,V002,GlobalProcure Inc,Software Licenses,Procurement,38,72155.3,2741901.4,2024-07-11,2024-07-15,2024-07-25,2024-07-27,2024-07-30,2024-09-11,4,12,3,43,62,False,False,Jul,7,Q3
TXN0056,PR0056,PO0056,GR0056,INV0056,V006,AlphaGoods Pvt Ltd,Professional Services,R&D,5,111072.94,555364.7,2024-01-22,2024-01-28,2024-02-04,2024-02-09,2024-02-16,2024-04-09,6,12,7,53,78,False,False,Jan,1,Q1
TXN0057,PR0057,PO0057,GR0057,INV0057,V007,ZenithSupplies Ltd,Utilities,Operations,12,23344.88,280138.56,2024-07-04,2024-07-09,2024-08-04,2024-08-09,2024-08-14,2024-09-22,5,31,5,39,80,False,False,Jul,7,Q3
TXN0058,PR0058,PO0058,GR0058,INV0058,V006,AlphaGoods Pvt Ltd,Consumables,HR,16,8391.94,134271.04,2024-08-11,2024-08-13,2024-08-28,2024-09-02,2024-09-04,2024-10-26,2,20,2,52,76,False,False,Aug,8,Q3
TXN0059,PR0059,PO0059,GR0059,INV0059,V006,AlphaGoods Pvt Ltd,IT Equipment,Logistics,12,80819.24,969830.88,2024-06-21,2024-06-27,2024-07-12,2024-07-12,2024-07-17,2024-09-03,6,15,5,48,74,True,False,Jun,6,Q2
TXN0060,PR0060,PO0060,GR0060,INV0060,V002,GlobalProcure Inc,Marketing,Procurement,16,88648.36,1418373.76,2024-01-06,2024-01-14,2024-02-07,2024-02-12,2024-02-18,2024-04-13,8,29,6,55,98,False,False,Jan,1,Q1
TXN0061,PR0061,PO0061,GR0061,INV0061,V005,NexaVendors Corp,IT Equipment,IT,15,69594.15,1043912.25,2024-08-17,2024-08-21,2024-09-06,2024-09-08,2024-09-11,2024-10-17,4,18,3,36,61,False,False,Aug,8,Q3
TXN0062,PR0062,PO0062,GR0062,INV0062,V006,AlphaGoods Pvt Ltd,Marketing,Marketing,45,58819.47,2646876.15,2024-08-05,2024-08-10,2024-08-25,2024-08-25,2024-08-31,2024-10-13,5,15,6,43,69,True,False,Aug,8,Q3
TXN0063,PR0063,PO0063,GR0063,INV0063,V004,PrimeMaterials Ltd,Raw Materials,Procurement,48,24725.73,1186835.04,2024-10-01,2024-10-11,2024-11-03,2024-11-05,2024-11-06,2025-01-09,10,25,1,64,100,False,False,Oct,10,Q4
TXN0064,PR0064,PO0064,GR0064,INV0064,V005,NexaVendors Corp,Professional Services,Operations,1,147443.33,147443.33,2024-04-26,2024-04-29,2024-05-14,2024-05-12,2024-05-13,2024-06-11,3,13,1,29,46,True,False,Apr,4,Q2
TXN0065,PR0065,PO0065,GR0065,INV0065,V010,Pinnacle Supplies,Office Supplies,Finance,19,2453.11,46609.09,2024-09-08,2024-09-16,2024-10-03,2024-10-03,2024-10-04,2024-11-13,8,17,1,40,66,True,False,Sep,9,Q3
TXN0066,PR0066,PO0066,GR0066,INV0066,V008,CoreTrade Inc,Office Supplies,R&D,5,2969.7,14848.5,2024-02-28,2024-02-29,2024-03-11,2024-03-11,2024-03-16,2024-05-12,1,11,5,57,74,True,False,Feb,2,Q1
TXN0067,PR0067,PO0067,GR0067,INV0067,V010,Pinnacle Supplies,Office Supplies,R&D,39,3995.56,155826.84,2024-05-07,2024-05-11,2024-06-03,2024-06-03,2024-06-07,2024-07-15,4,23,4,38,69,True,False,May,5,Q2
TXN0068,PR0068,PO0068,GR0068,INV0068,V010,Pinnacle Supplies,Consumables,Finance,48,1442.72,69250.56,2024-06-05,2024-06-09,2024-07-06,2024-07-06,2024-07-12,2024-08-13,4,27,6,32,69,True,True,Jun,6,Q2
TXN0069,PR0069,PO0069,GR0069,INV0069,V003,SwiftLogistics Co,Marketing,IT,1,53753.97,53753.97,2024-03-29,2024-04-08,2024-04-30,2024-04-30,2024-05-02,2024-06-05,10,22,2,34,68,True,False,Mar,3,Q1
TXN0070,PR0070,PO0070,GR0070,INV0070,V005,NexaVendors Corp,Office Supplies,Procurement,41,3030.99,124270.59,2024-08-20,2024-08-24,2024-09-13,2024-09-13,2024-09-15,2024-10-18,4,20,2,33,59,True,False,Aug,8,Q3
TXN0071,PR0071,PO0071,GR0071,INV0071,V003,SwiftLogistics Co,Office Supplies,Finance,20,3056.21,61124.2,2024-03-13,2024-03-23,2024-04-08,2024-04-08,2024-04-12,2024-05-19,10,16,4,37,67,True,False,Mar,3,Q1
TXN0072,PR0072,PO0072,GR0072,INV0072,V008,CoreTrade Inc,Marketing,Logistics,6,74980.11,449880.66,2024-05-19,2024-05-26,2024-06-25,2024-06-25,2024-06-28,2024-08-29,7,30,3,62,102,True,True,May,5,Q2
TXN0073,PR0073,PO0073,GR0073,INV0073,V003,SwiftLogistics Co,Maintenance,Finance,31,22201.66,688251.46,2024-01-11,2024-01-19,2024-02-03,2024-02-03,2024-02-08,2024-03-19,8,15,5,40,68,True,False,Jan,1,Q1
TXN0074,PR0074,PO0074,GR0074,INV0074,V007,ZenithSupplies Ltd,Utilities,Marketing,22,13026.46,286582.12,2024-02-16,2024-02-18,2024-03-01,2024-03-01,2024-03-07,2024-04-13,2,12,6,37,57,True,False,Feb,2,Q1
TXN0075,PR0075,PO0075,GR0075,INV0075,V006,AlphaGoods Pvt Ltd,Utilities,IT,17,13081.84,222391.28,2024-01-19,2024-01-26,2024-02-18,2024-02-23,2024-02-24,2024-04-18,7,28,1,54,90,False,False,Jan,1,Q1
TXN0076,PR0076,PO0076,GR0076,INV0076,V009,BrightSource Co,IT Equipment,Procurement,24,99055.57,2377333.68,2024-07-30,2024-08-07,2024-09-03,2024-09-03,2024-09-04,2024-10-18,8,27,1,44,80,True,False,Jul,7,Q3
TXN0077,PR0077,PO0077,GR0077,INV0077,V002,GlobalProcure Inc,Utilities,Logistics,2,29328.67,58657.34,2024-05-27,2024-06-06,2024-06-20,2024-06-22,2024-06-25,2024-08-17,10,16,3,53,82,False,False,May,5,Q2
TXN0078,PR0078,PO0078,GR0078,INV0078,V008,CoreTrade Inc,Logistics,IT,8,53578.23,428625.84,2024-02-17,2024-02-20,2024-03-13,2024-03-23,2024-03-26,2024-05-28,3,32,3,63,101,False,False,Feb,2,Q1
TXN0079,PR0079,PO0079,GR0079,INV0079,V004,PrimeMaterials Ltd,Utilities,Logistics,30,18781.63,563448.9,2024-07-31,2024-08-07,2024-08-20,2024-08-30,2024-09-04,2024-11-02,7,23,5,59,94,False,False,Jul,7,Q3
TXN0080,PR0080,PO0080,GR0080,INV0080,V006,AlphaGoods Pvt Ltd,Maintenance,R&D,33,12885.39,425217.87,2024-02-05,2024-02-06,2024-02-22,2024-02-24,2024-03-02,2024-04-26,1,18,7,55,81,False,False,Feb,2,Q1
TXN0081,PR0081,PO0081,GR0081,INV0081,V006,AlphaGoods Pvt Ltd,Utilities,Logistics,22,18797.94,413554.68,2024-03-17,2024-03-26,2024-04-14,2024-04-14,2024-04-17,2024-06-03,9,19,3,47,78,True,False,Mar,3,Q1
TXN0082,PR0082,PO0082,GR0082,INV0082,V001,TechSupply Pvt Ltd,Logistics,R&D,21,60852.89,1277910.69,2024-07-15,2024-07-22,2024-08-10,2024-08-20,2024-08-27,2024-09-25,7,29,7,29,72,False,False,Jul,7,Q3
TXN0083,PR0083,PO0083,GR0083,INV0083,V009,BrightSource Co,IT Equipment,Operations,38,59819.29,2273133.02,2024-09-10,2024-09-12,2024-10-03,2024-10-01,2024-10-05,2024-11-18,2,19,4,44,69,True,True,Sep,9,Q3
TXN0084,PR0084,PO0084,GR0084,INV0084,V008,CoreTrade Inc,Raw Materials,IT,17,17589.5,299021.5,2024-07-28,2024-08-04,2024-08-31,2024-08-29,2024-09-01,2024-11-07,7,25,3,67,102,True,False,Jul,7,Q3
TXN0085,PR0085,PO0085,GR0085,INV0085,V010,Pinnacle Supplies,Utilities,Finance,5,10869.26,54346.3,2024-06-11,2024-06-16,2024-06-30,2024-07-02,2024-07-06,2024-08-03,5,16,4,28,53,False,False,Jun,6,Q2
TXN0086,PR0086,PO0086,GR0086,INV0086,V001,TechSupply Pvt Ltd,Raw Materials,HR,3,16894.36,50683.08,2024-08-15,2024-08-16,2024-09-01,2024-09-01,2024-09-05,2024-10-13,1,16,4,38,59,True,False,Aug,8,Q3
TXN0087,PR0087,PO0087,GR0087,INV0087,V002,GlobalProcure Inc,Raw Materials,Operations,40,43671.14,1746845.6,2024-04-02,2024-04-12,2024-05-10,2024-05-10,2024-05-15,2024-07-08,10,28,5,54,97,True,False,Apr,4,Q2
TXN0088,PR0088,PO0088,GR0088,INV0088,V001,TechSupply Pvt Ltd,Utilities,HR,30,27530.24,825907.2,2024-05-10,2024-05-19,2024-05-31,2024-05-29,2024-06-01,2024-07-05,9,10,3,34,56,True,False,May,5,Q2
TXN0089,PR0089,PO0089,GR0089,INV0089,V005,NexaVendors Corp,Maintenance,Logistics,13,39976.82,519698.66,2024-08-05,2024-08-13,2024-08-23,2024-08-23,2024-08-28,2024-10-01,8,10,5,34,57,True,False,Aug,8,Q3
TXN0090,PR0090,PO0090,GR0090,INV0090,V005,NexaVendors Corp,IT Equipment,R&D,1,91400.42,91400.42,2024-05-31,2024-06-01,2024-06-27,2024-06-29,2024-07-06,2024-08-09,1,28,7,34,70,False,False,May,5,Q2
TXN0091,PR0091,PO0091,GR0091,INV0091,V004,PrimeMaterials Ltd,Consumables,Marketing,41,2306.25,94556.25,2024-04-27,2024-05-02,2024-05-30,2024-06-04,2024-06-11,2024-08-09,5,33,7,59,104,False,False,Apr,4,Q2
TXN0092,PR0092,PO0092,GR0092,INV0092,V008,CoreTrade Inc,IT Equipment,HR,3,93242.46,279727.38,2024-02-19,2024-02-22,2024-03-02,2024-03-12,2024-03-15,2024-05-14,3,19,3,60,85,False,False,Feb,2,Q1
TXN0093,PR0093,PO0093,GR0093,INV0093,V009,BrightSource Co,Raw Materials,Marketing,33,45760.86,1510108.38,2024-04-12,2024-04-15,2024-04-30,2024-05-10,2024-05-14,2024-07-02,3,25,4,49,81,False,False,Apr,4,Q2
TXN0094,PR0094,PO0094,GR0094,INV0094,V002,GlobalProcure Inc,Office Supplies,Logistics,10,3819.93,38199.3,2024-06-22,2024-06-26,2024-07-24,2024-07-26,2024-07-30,2024-09-19,4,30,4,51,89,False,False,Jun,6,Q2
TXN0095,PR0095,PO0095,GR0095,INV0095,V005,NexaVendors Corp,Software Licenses,Finance,35,21122.99,739304.65,2024-02-16,2024-02-22,2024-03-21,2024-03-23,2024-03-26,2024-05-01,6,30,3,36,75,False,False,Feb,2,Q1
TXN0096,PR0096,PO0096,GR0096,INV0096,V001,TechSupply Pvt Ltd,Logistics,Logistics,40,71317.61,2852704.4,2024-02-25,2024-03-05,2024-03-22,2024-04-01,2024-04-03,2024-05-12,9,27,2,39,77,False,False,Feb,2,Q1
TXN0097,PR0097,PO0097,GR0097,INV0097,V003,SwiftLogistics Co,Software Licenses,IT,3,95163.54,285490.62,2024-06-03,2024-06-08,2024-06-30,2024-06-30,2024-07-02,2024-07-31,5,22,2,29,58,True,False,Jun,6,Q2
TXN0098,PR0098,PO0098,GR0098,INV0098,V009,BrightSource Co,Utilities,Marketing,27,19683.51,531454.77,2024-07-17,2024-07-20,2024-08-09,2024-08-11,2024-08-18,2024-10-10,3,22,7,53,85,False,False,Jul,7,Q3
TXN0099,PR0099,PO0099,GR0099,INV0099,V004,PrimeMaterials Ltd,IT Equipment,Marketing,29,75033.94,2175984.26,2024-05-23,2024-05-27,2024-06-14,2024-06-12,2024-06-18,2024-08-23,4,16,6,66,92,True,False,May,5,Q2
TXN0100,PR0100,PO0100,GR0100,INV0100,V004,PrimeMaterials Ltd,Software Licenses,HR,8,95410.97,763287.76,2024-02-01,2024-02-09,2024-02-18,2024-02-20,2024-02-26,2024-04-21,8,11,6,55,80,False,False,Feb,2,Q1
TXN0101,PR0101,PO0101,GR0101,INV0101,V003,SwiftLogistics Co,Professional Services,Procurement,37,56937.0,2106669.0,2024-01-26,2024-02-04,2024-02-17,2024-02-19,2024-02-26,2024-04-01,9,15,7,35,66,False,False,Jan,1,Q1
TXN0102,PR0102,PO0102,GR0102,INV0102,V005,NexaVendors Corp,Consumables,Finance,10,9881.51,98815.1,2024-03-16,2024-03-25,2024-04-09,2024-04-14,2024-04-15,2024-05-10,9,20,1,25,55,False,False,Mar,3,Q1
TXN0103,PR0103,PO0103,GR0103,INV0103,V004,PrimeMaterials Ltd,IT Equipment,Marketing,38,58709.15,2230947.7,2024-03-08,2024-03-11,2024-03-26,2024-03-24,2024-03-30,2024-05-27,3,13,6,58,80,True,False,Mar,3,Q1
TXN0104,PR0104,PO0104,GR0104,INV0104,V006,AlphaGoods Pvt Ltd,Utilities,Logistics,33,19841.65,654774.45,2024-02-02,2024-02-10,2024-03-04,2024-03-04,2024-03-09,2024-04-27,8,23,5,49,85,True,True,Feb,2,Q1
TXN0105,PR0105,PO0105,GR0105,INV0105,V008,CoreTrade Inc,IT Equipment,Finance,26,72546.94,1886220.44,2024-08-22,2024-08-24,2024-09-15,2024-09-17,2024-09-21,2024-11-17,2,24,4,57,87,False,True,Aug,8,Q3
